star,evaluation,评价关键词,评论类型
star5,还好,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,质量不错，价格亲民，值得购买哦。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,"面料材质：面按材质详细资料有介绍，纯棉的应该。
上身效果：上身效果也不错，穿着很精神很帅气十足。
舒适程度：穿着很舒服也很凉爽。
吸汗效果：吸汗效果杠杠的哈哈。
其他特色：快递速度也很快。","柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,大小合适，做工不错，穿着舒适,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,"是正品，公司团购的
舒适程度：很好","柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,穿着舒服！,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,不错面料舒服，上身效果不错，纯棉的吸汗。,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,舒适程度：穿着挺舒服的，京东商城购买的售后有保障，值得推荐。个人观点不喜勿喷,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,今天我要上班不上班就好比吃早餐没了,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,太失望了 收到包装都是简陋 衣服质量也很差,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,衣服好看，穿着不错?喜欢,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐大品牌！值得信赖的！效果超级好！贵有贵的道理！很棒的商品！宝贝真不错，做的真细心，值得拥有，快递很快,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
star5,考试必备单品！给爸爸加油穿的！质量也很好?,"柔软舒适(13)/
触感舒适(2)/
效果显著(1)/
精准度高(1)/",好评
