label,evaluation
1,当我把这张拍下时就应该知道了什么叫好产品，性价比很高!一口气拿下
1,这条裤子特别好，买给男朋友的，男朋友穿上很喜欢，说我很有眼光的，质量也特别的好。
1,下次还会过来的，下身很不错，推荐~
0,不怎么样，裤子上全是毛，差评。
1,宝贝质量很好啊～版型好看，适合早晚穿，现在的天气中午穿会热，但还是很喜欢，推荐～很修身
0,裤子还不错，但为什么会粘这么多的毛
1,班尼路/Baleno夏男装 纯棉圆领短袖t恤男 小清新韩版潮流纯色体恤 01W漂白 XXXL。这款衣服是棉的。己经是第二次购买了
1,还可以，就是希望物流发货快点
1,好评来啦，物有所值的东西，裤子质量很好，卖家服务态度不错
1,评价晚了，昨天就收到宝贝了。快递大哥挺给力，不错。买回来的裤子挺不错的，大小刚刚好，正合适，布料摸着也挺舒服。这次购物很满意。支持大家购买哦
1,听同事介绍来的，都说质量不错，下次还来你家。呵呵。
1,大小合适，跟图片一样，做工很好，质量不错，和描述相符。卖家服务态度不错
1,裤子非常不错，布料摸起来非常舒服?。质量不错值得一买。而且也不贵。物流也超快的。
1,第一次在网上购买，没想到这么优惠的价格，质量真好，卖家推荐的号码都合适。 不错    衣服质量挺好的，颜色很正，老公穿上很帅气，店主服务态度真不错！
1,颜色挺好的，老公非常喜欢，发货挺快，送货员服务态度非常好，下次还会买这家的货。
1,裤子穿着很合身，很帅气喔，喜欢??
1,嗯，不错，非常好，质量非常的棒。
1,裤子很好，朋友买过一次，推荐买的，质量很棒，下次还会再来的。
1,这条裤子不仅质量很好，而且摸起来手感不错，很值得拥有
1,刚收到，看看去，挺不错的。，，
1,刚收到宝贝，上身效果很好和图片上颜色基本一样没有色差，下次还会在这家店买
1,物流太慢了，而且没有更新，手感有些硬，
1,哇，这裤子太帅了，这裤子就算不拉拉链也能成男神，现在我们村的村花都成我的小迷妹了，村长天天给我介绍对象，我们车间的女老板天天叫我去她办公室谈工作说我表现好，要给我升职加薪，自从有了这条裤子，我抵达了人生巅峰。
1,连续买了两条了，真心不错，还会再买，给力！
0,差穿了2次就丢了！
1,裤子质量还是非常不错的，已经穿了四五天了，穿着也挺舒适的
1,裤子质量超级好，纯黑色的，手感很好，值得购买，喜欢的宝贝快下手吧！！
1,大小合适，有弹力，辉常满意！
1,第一次买班尼路牌子的T恤衫，手感挺好的颜色也算满意，就是不知道洗几次后会不会变形或变长，希望不要变形哦。
1,裤子质量不错，很柔软。不退色。穿着很舒服，样式也很好看，总之就是不错不错。大爱大爱。
